epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,eta,grad_norm_avg,grad_norm_val,epoch_time,learning_rate
0,-0.5363706559242681,-0.6780259609222412,0.3785196130682176,0.2853820025920868,-0.9148902689421403,-0.9634079933166504,0.10465692226764942,0.1041262149810791,6291.45947265625,0:00:07,inf,5.435025215148926,3.262977663144188e-07,8362.781155824661
1,-0.7164260651433805,-0.7061554789543152,0.2459568379332049,0.2588295340538025,-0.9623829029632408,-0.9649850130081177,0.10482802025182907,0.10456204414367676,6311.18798828125,0:00:07,inf,7.85598087310791,6.372352663144188e-07,8376.490569114685
2,-0.7377971564055854,-0.8254588842391968,0.22886623235902812,0.1394709348678589,-0.9666633888104555,-0.9649298191070557,0.10475545175030626,0.1034841537475586,6325.5673828125,0:00:07,inf,3.847463846206665,9.481727663144188e-07,8370.876568555832
3,-0.751289559096911,-0.7702280282974243,0.218936199893897,0.20030063390731812,-0.9702257591029387,-0.9705286622047424,0.10480797353094798,0.1045525074005127,6325.5673828125,0:00:07,inf,2.4284420013427734,1.2591102663144188e-06,8375.151583433151
4,-0.7598178833269317,-0.7677633762359619,0.21339498326053336,0.20275628566741943,-0.9732128665131469,-0.9705196619033813,0.1049251204778302,0.1049349308013916,6325.5673828125,0:00:07,inf,4.668936729431152,1.570047766314419e-06,8384.610737800598
5,-0.7677642760299979,-0.7927750945091248,0.20824900457992618,0.18755094707012177,-0.9760132806666897,-0.9803260564804077,0.10476893789554512,0.1041717529296875,6325.607421875,0:00:07,inf,2.5867626667022705,1.8809852663144188e-06,8372.042300462723
6,-0.7748444756214676,-0.8424724340438843,0.203607452117539,0.12825964391231537,-0.9784519276677694,-0.9707320928573608,0.1049451297214534,0.11258125305175781,6325.607421875,0:00:07,inf,2.070709705352783,2.191922766314419e-06,8386.222110509872
6,-0.77483875560494,-0.8426246643066406,0.2036086718431526,0.12836572527885437,-0.9784474274681659,-0.9709904193878174,0.10417260727014947,0.10311198234558105,6282.70849609375,0:00:07,inf,1.3348472118377686,2.191922766314419e-06,8324.574992895126
7,-0.7806498221842514,-0.8087153434753418,0.199820220703653,0.17492997646331787,-0.980470042840662,-0.9836453199386597,0.10442715644167189,0.10381817817687988,6297.58203125,0:00:07,inf,3.486830711364746,2.502860266314419e-06,8345.03347992897
8,-0.785440841035104,-0.7529840469360352,0.1967631153946922,0.23316499590873718,-0.9822039562367184,-0.9861490726470947,0.10425463010908642,0.1034998893737793,6309.890625,0:00:07,inf,3.3002545833587646,2.813797766314419e-06,8331.246283531189
9,-0.7895326161039209,-0.7663599252700806,0.19409212509678522,0.21655067801475525,-0.9836247411902492,-0.9829106330871582,0.10428160522888197,0.10391855239868164,6309.890625,0:00:07,inf,1.5810465812683105,3.1247352663144188e-06,8333.389174222946
10,-0.7933443629878055,-0.757007360458374,0.19148261827344581,0.2286955714225769,-0.9848269812908479,-0.9857029318809509,0.10453532642010237,0.10474324226379395,6309.890625,0:00:07,inf,2.2462282180786133,3.0372583400230674e-06,8353.775180578232
11,-0.7966376929140869,-0.799914538860321,0.18917097443799769,0.18563960492610931,-0.9858086674509576,-0.9855541586875916,0.10446800588792139,0.10384345054626465,6311.40576171875,0:00:07,inf,1.7394174337387085,3.0207765866072573e-06,8348.346275568008
12,-0.7993637371540662,-0.8170144557952881,0.1872662412638098,0.1715155392885208,-0.9866299784241314,-0.9885299801826477,0.10437246112646856,0.10486507415771484,6311.40576171875,0:00:07,inf,1.6482045650482178,3.002932790203186e-06,8340.857778310776
13,-0.8017239412794323,-0.8573634624481201,0.18559261082962797,0.13071957230567932,-0.9873165519957157,-0.988083004951477,0.1045109343031899,0.10468554496765137,6311.40576171875,0:00:07,inf,1.499773621559143,2.9837445604835976e-06,8351.773550748825
14,-0.803779206000806,-0.7917062044143677,0.18415708574654127,0.1979903280735016,-0.9879362916897414,-0.9896965622901917,0.10470850612195196,0.10426115989685059,6311.40576171875,0:00:07,inf,1.4077715873718262,2.963230833914601e-06,8367.624772071838
15,-0.8055323121036838,-0.8498470783233643,0.18295101129600955,0.13626433908939362,-0.988483323375512,-0.9861114025115967,0.10459733726975284,0.1048576831817627,6311.40576171875,0:00:07,inf,1.4640841484069824,2.941411855067668e-06,8358.770950555801
16,-0.8071137017303612,-0.8051811456680298,0.18183939158813772,0.18282730877399445,-0.9889530933436139,-0.988008439540863,0.10457202601592043,0.10401439666748047,6311.40576171875,0:00:07,inf,2.1351423263549805,2.9183091566406837e-06,8356.702560901642
17,-0.8085620061247076,-0.768481969833374,0.18079881300128248,0.2210453450679779,-0.989360819258661,-0.9895273447036743,0.1044489302295615,0.10361194610595703,6317.11962890625,0:00:07,inf,1.5601320266723633,2.8939455382077727e-06,8346.953370332718
18,-0.809870642343187,-0.7778910398483276,0.17985565978118503,0.2124718427658081,-0.989726302140524,-0.9903628826141357,0.10433778560134253,0.10476875305175781,6317.11962890625,0:00:07,inf,1.9889405965805054,2.8683450437188728e-06,8338.12037062645
19,-0.8110585537720554,-0.7992106080055237,0.17898258280143337,0.19083887338638306,-0.9900411366833788,-0.9900494813919067,0.1044728680452657,0.10448861122131348,6317.11962890625,0:00:07,inf,1.882975459098816,2.8415329377712597e-06,8348.938369512558
20,-0.81220618232931,-0.8054953813552856,0.17812056474028098,0.18700185418128967,-0.9903267471131922,-0.9924972653388977,0.10453191509034822,0.10341286659240723,6317.11962890625,0:00:07,inf,1.4059340953826904,2.8135356806764385e-06,8353.614958286285
21,-0.8131553380727257,-0.819210946559906,0.17742279996445579,0.17084671556949615,-0.9905781380601492,-0.990057647228241,0.10426977381034193,0.10443305969238281,6317.11962890625,0:00:07,inf,1.3507704734802246,2.784380902347013e-06,8332.734169244766
22,-0.8140698024623713,-0.8319193124771118,0.1767400246266143,0.15895672142505646,-0.9908098270656444,-0.9908760190010071,0.10432214488723347,0.10431075096130371,6317.11962890625,0:00:07,nan,1.6002157926559448,2.7540973750292937e-06,8336.90944647789
23,-0.8149115697830936,-0.8613638877868652,0.1761063148513151,0.12784196436405182,-0.991017884730014,-0.9892058372497559,0.10457839740072417,0.10421943664550781,6317.11962890625,0:00:07,inf,1.1572471857070923,2.7227149849085694e-06,8357.244659900665
24,-0.8156885192907567,-0.827210545539856,0.17552105099143164,0.16272565722465515,-0.9912095702328919,-0.9899362325668335,0.10444839803696372,0.10396265983581543,6317.11962890625,0:00:07,inf,3.090456247329712,2.690264702615048e-06,8346.93050813675
25,-0.8164028830744028,-0.8226743936538696,0.17497918123046483,0.16839838027954102,-0.9913820643577119,-0.9910727739334106,0.10455707033433911,0.10364818572998047,6317.11962890625,0:00:07,inf,1.073989748954773,2.6567785526595823e-06,8355.639607667923
26,-0.8170864508632454,-0.8699733018875122,0.174455726297463,0.12232652306556702,-0.9915421771231759,-0.9922997951507568,0.10440941409113665,0.1043858528137207,6317.11962890625,0:00:07,inf,1.9385881423950195,2.622289581829347e-06,8343.854939937592
27,-0.8177593392349796,-0.8143764734268188,0.17393292160554766,0.1774761825799942,-0.9916922608015942,-0.9918526411056519,0.10451080207216658,0.10416698455810547,6317.11962890625,0:00:07,nan,1.4106876850128174,2.586831826574647e-06,8351.9736931324
28,-0.8182951700748506,-0.826252818107605,0.17353301915654634,0.1664404571056366,-0.9918281893295697,-0.992693305015564,0.10437334646693273,0.10412788391113281,6317.11962890625,0:00:07,inf,1.3243299722671509,2.550440279419053e-06,8340.894762277603
29,-0.8189475536914091,-0.8147435784339905,0.17301218961554526,0.17791984975337982,-0.9919597432862275,-0.9926634430885315,0.10453412888965828,0.10278081893920898,6317.11962890625,0:00:07,nan,1.4044394493103027,2.513150854426002e-06,8353.81895327568
30,-0.8194306405386431,-0.8129450082778931,0.17264409129401065,0.1798606812953949,-0.9920747317242575,-0.9928056597709656,0.10461277229215485,0.10461592674255371,6317.11962890625,0:00:07,nan,1.5754574537277222,2.475000351755955e-06,8360.179206371307
31,-0.8199587985388661,-0.8862295150756836,0.17223484439140493,0.10535382479429245,-0.9921936429256027,-0.9915833473205566,0.10457969097560457,0.1037294864654541,6317.11962890625,0:00:07,inf,0.9903237819671631,2.4360264213490823e-06,8357.432000875473
32,-0.8204543926388971,-0.8294689655303955,0.17184081435990803,0.1634160578250885,-0.9922952070593053,-0.9928849935531616,0.1044839382757213,0.10392355918884277,6317.11962890625,0:00:07,inf,1.04787015914917,2.3962675257693148e-06,8349.740679740906
33,-0.8208758751806258,-0.8343150019645691,0.17152000714563398,0.1595095992088318,-0.9923958823472667,-0.9938246011734009,0.10425181625836494,0.1040186882019043,6317.11962890625,0:00:07,inf,1.294716477394104,2.3557629022464415e-06,8330.933071136475
34,-0.8212878994755819,-0.8495616912841797,0.17119871764395558,0.14244671165943146,-0.9924866171369032,-0.99200838804245,0.10430745352727859,0.10340595245361328,6317.11962890625,0:00:07,nan,1.1510961055755615,2.314552523953696e-06,8335.59943151474
